Customer_ID,Risk_Score,Outstanding_Balance,Overdue_Days,Overdue_Amount,Segment,Current_Channel,Estimated_Recovery_Rate,Expected_Recovery,Contact_Cost,Recovery_per_Cost
C00635,0.0956,57387270.0,23,524095.0,Affluent,SMS,0.1993,73348.0,3000,24.4493
C00636,0.3509,101077365.0,63,3612386.0,Affluent,Call Center,0.4221,876015.0,25000,35.0406
C00637,0.0404,42664354.0,172,2643829.0,Mass,SMS,0.2643,510031.0,3000,170.0103
C00638,0.257,171906144.0,93,8067712.0,Mass,SMS,0.234,1173478.0,3000,391.1592
C00639,0.1562,41329022.0,33,596672.0,Mass,Call Center,0.4221,169203.0,25000,6.7681
C00640,0.1128,33821250.0,21,290178.0,Mass,Field Agent,0.5676,114243.0,180000,0.6347
C00641,0.2751,31793588.0,107,1757857.0,Affluent,SMS,0.2315,249222.0,3000,83.0739
C00642,0.2568,6912838.0,168,585942.0,Affluent,SMS,0.234,85246.0,3000,28.4152
C00643,0.0784,65031673.0,9,225687.0,Mass,WhatsApp,0.2553,40950.0,5000,8.1899
C00644,0.3743,2167143.0,20,100000.0,Affluent,Field Agent,0.4838,27229.0,180000,0.1513
C00645,0.282,13910208.0,68,493111.0,Affluent,WhatsApp,0.2884,86605.0,5000,17.321
C00646,0.191,25579882.0,38,447752.0,Affluent,Field Agent,0.5832,170913.0,180000,0.9495
C00647,0.4712,11348817.0,22,161652.0,Affluent,Call Center,0.3314,27554.0,25000,1.1022
C00648,0.2208,15912738.0,54,412913.0,Mass,SMS,0.2104,55566.0,3000,18.5221
C00649,0.4525,157315193.0,116,11587251.0,Priority,Call Center,0.434,2633864.0,25000,105.3545
C00650,0.1508,75406970.0,149,4875000.0,Mass,Call Center,0.5227,1718806.0,25000,68.7522
C00651,0.0659,12591829.0,56,266020.0,Mass,Call Center,0.4856,92622.0,25000,3.7049
C00652,0.2654,15631831.0,127,1013045.0,Mass,WhatsApp,0.3143,196564.0,5000,39.3128
C00653,0.256,6971789.0,149,523546.0,Affluent,WhatsApp,0.3161,102943.0,5000,20.5887
C00654,0.1534,50595853.0,2,100000.0,Mass,WhatsApp,0.2371,15963.0,5000,3.1926
C00655,0.1463,19475035.0,154,1292187.0,Mass,Field Agent,0.7236,632895.0,180000,3.5161
C00656,0.3618,3498763.0,34,100000.0,Affluent,Field Agent,0.5174,29442.0,180000,0.1636
C00657,0.1768,27650932.0,124,1547083.0,Mass,WhatsApp,0.3311,338873.0,5000,67.7745
C00658,0.2857,38778063.0,136,2762547.0,Mass,Field Agent,0.667,1118700.0,180000,6.215
C00659,0.35,65497816.0,153,5678346.0,Mass,Field Agent,0.6409,2092718.0,180000,11.6262
C00660,0.2879,23231777.0,73,890816.0,Affluent,Call Center,0.455,245656.0,25000,9.8262
C00661,0.8105,17222293.0,119,1790494.0,Mass,SMS,0.1565,96629.0,3000,32.2097
C00662,0.1876,182206472.0,5,417610.0,Mass,SMS,0.1747,47869.0,3000,15.9562
C00663,0.1115,25165197.0,81,830948.0,Mass,Field Agent,0.7156,412831.0,180000,2.2935
C00664,0.2931,51338331.0,174,4722877.0,Priority,Call Center,0.4808,1370447.0,25000,54.8179
C00665,0.3078,14575415.0,29,227617.0,Affluent,SMS,0.1808,24529.0,3000,8.1764
C00666,0.101,49838385.0,28,559088.0,Mass,SMS,0.203,79386.0,3000,26.4621
C00667,0.3015,5831340.0,127,395721.0,Affluent,Call Center,0.4784,113435.0,25000,4.5374
C00668,0.2968,15749495.0,92,769691.0,Affluent,Field Agent,0.6625,306765.0,180000,1.7042
C00669,0.2955,7467809.0,82,324775.0,Affluent,WhatsApp,0.3004,58757.0,5000,11.7513
C00670,0.3081,13652225.0,45,330962.0,Mass,SMS,0.1928,38036.0,3000,12.6785
C00671,0.0726,87299599.0,31,1033062.0,Mass,SMS,0.2087,153901.0,3000,51.3005
C00672,0.1494,13552214.0,133,780339.0,Affluent,SMS,0.2491,131258.0,3000,43.7526
C00673,0.3797,51271341.0,65,1954538.0,Mass,WhatsApp,0.2683,293778.0,5000,58.7557
C00674,0.0725,113993452.0,140,6090834.0,Mass,Field Agent,0.7536,3276080.0,180000,18.2004
C00675,0.6407,24319987.0,80,1479565.0,Mass,Field Agent,0.5054,321309.0,180000,1.785
C00676,0.1932,67534794.0,72,2247219.0,Mass,Field Agent,0.6623,972420.0,180000,5.4023
C00677,0.1084,42519457.0,42,724366.0,Mass,WhatsApp,0.289,145639.0,5000,29.1278
C00678,0.4118,28087166.0,119,2031734.0,Mass,Call Center,0.4459,492956.0,25000,19.7182
C00679,0.438,52941706.0,52,1721551.0,Mass,Call Center,0.3827,349852.0,25000,13.9941
C00680,0.2224,157403711.0,164,12431552.0,Affluent,Call Center,0.5016,3983639.0,25000,159.3456
C00681,0.1762,13218362.0,74,440933.0,Mass,SMS,0.2323,67785.0,3000,22.5951
C00682,0.2282,9579974.0,147,683663.0,Mass,SMS,0.2381,103491.0,3000,34.4969
C00683,0.1417,9033693.0,85,328490.0,Mass,Field Agent,0.7134,159151.0,180000,0.8842
C00684,0.5975,67579440.0,75,3708567.0,Mass,Call Center,0.3718,622101.0,25000,24.884
C00685,0.4955,77342487.0,82,4209234.0,Affluent,SMS,0.1953,412805.0,3000,137.6017
C00686,0.4229,14611938.0,80,719246.0,Mass,Call Center,0.4279,165743.0,25000,6.6297
C00687,0.4183,2953120.0,87,157288.0,Affluent,SMS,0.2093,17807.0,3000,5.9356
C00688,0.2383,12732007.0,160,1002697.0,Priority,Call Center,0.4969,314332.0,25000,12.5733
C00689,0.0458,43238444.0,127,1998096.0,Mass,WhatsApp,0.3558,516975.0,5000,103.395
C00690,0.0879,23386354.0,7,100000.0,Affluent,Field Agent,0.5406,38168.0,180000,0.212
C00691,0.3227,29940844.0,11,180635.0,Mass,SMS,0.1656,17611.0,3000,5.8702
C00692,0.1013,14813389.0,5,100000.0,Mass,Call Center,0.385,26925.0,25000,1.077
C00693,0.2883,68921278.0,125,4527691.0,Mass,Call Center,0.4822,1322787.0,25000,52.9115
C00694,0.1143,35235977.0,38,548318.0,Mass,SMS,0.21,79773.0,3000,26.5908
C00695,0.2827,44940496.0,70,1641508.0,Mass,SMS,0.2151,214866.0,3000,71.622
C00696,0.206,29310374.0,149,2055598.0,Mass,SMS,0.2412,320724.0,3000,106.908
C00697,0.1473,42234777.0,24,437384.0,Mass,SMS,0.1945,57546.0,3000,19.182
C00698,0.2845,39545326.0,28,579098.0,Mass,SMS,0.1826,64266.0,3000,21.4222
C00699,0.5334,9882853.0,15,102126.0,Mass,WhatsApp,0.1978,9888.0,5000,1.9777
C00700,0.5261,36304399.0,52,1291419.0,Affluent,Field Agent,0.4973,312709.0,180000,1.7373
C00701,0.1022,55168051.0,17,376527.0,Mass,WhatsApp,0.2612,68732.0,5000,13.7464
C00702,0.2287,79361812.0,114,4394899.0,Mass,Field Agent,0.6902,1928120.0,180000,10.7118
C00703,0.3002,37901208.0,133,2689245.0,Mass,Field Agent,0.6611,1066516.0,180000,5.9251
C00704,0.4288,9522194.0,34,200473.0,Affluent,SMS,0.1708,18336.0,3000,6.112
C00705,0.13,11106811.0,95,443149.0,Affluent,Call Center,0.5288,160519.0,25000,6.4207
C00706,0.5097,16179221.0,55,599009.0,Mass,Call Center,0.3685,109286.0,25000,4.3714
C00707,0.1334,30215038.0,15,191392.0,Mass,Call Center,0.3958,51764.0,25000,2.0706
C00708,0.291,22123485.0,85,991589.0,Mass,SMS,0.2254,135141.0,3000,45.0469
C00709,0.3537,8126609.0,126,582741.0,Mass,SMS,0.2205,73645.0,3000,24.5482
C00710,0.1583,8078093.0,42,148891.0,Mass,Call Center,0.4372,43670.0,25000,1.7468
C00711,0.2781,3065940.0,142,225838.0,Mass,Call Center,0.4852,66951.0,25000,2.678
C00712,0.1825,1104509.0,179,100000.0,Priority,Field Agent,0.7089,46700.0,180000,0.2594
C00713,0.3798,21913305.0,11,141382.0,Mass,Field Agent,0.4632,36681.0,180000,0.2038
C00714,0.1499,254450470.0,30,3307192.0,Mass,Call Center,0.4184,933997.0,25000,37.3599
C00715,0.0551,150754901.0,53,2956595.0,Mass,Call Center,0.4829,1031461.0,25000,41.2584
C00716,0.4292,9399386.0,153,890900.0,Mass,WhatsApp,0.2834,135160.0,5000,27.032
C00717,0.1454,29043047.0,26,324897.0,Priority,SMS,0.1964,43216.0,3000,14.4053
C00718,0.1603,5779379.0,85,216261.0,Priority,Field Agent,0.7059,102260.0,180000,0.5681
C00719,0.2905,6731287.0,97,344082.0,Mass,Call Center,0.4816,100216.0,25000,4.0087
C00720,0.2956,7548910.0,24,100000.0,Affluent,Call Center,0.3745,22550.0,25000,0.902
C00721,0.1842,19952953.0,8,100000.0,Mass,Field Agent,0.5146,33857.0,180000,0.1881
C00722,0.2743,20830457.0,22,236563.0,Mass,Field Agent,0.5194,75300.0,180000,0.4183
C00723,0.2105,32187488.0,11,167702.0,Mass,WhatsApp,0.2392,25865.0,5000,5.1731
C00724,0.1068,48525635.0,91,1786373.0,Mass,SMS,0.255,317376.0,3000,105.7919
C00725,0.2675,17849846.0,169,1543582.0,Mass,Field Agent,0.6744,641472.0,180000,3.5637
C00726,0.1974,25921631.0,64,771359.0,Mass,Call Center,0.4648,233524.0,25000,9.341
C00727,0.0121,8373428.0,47,134370.0,Mass,SMS,0.2298,22976.0,3000,7.6585
C00728,0.4346,6516770.0,43,174589.0,Priority,WhatsApp,0.2381,22148.0,5000,4.4296
C00729,0.3667,5583989.0,177,571061.0,Mass,Call Center,0.4592,148596.0,25000,5.9438
C00730,0.3707,47852513.0,173,4805443.0,Mass,WhatsApp,0.2944,798912.0,5000,159.7825
C00731,0.1599,17831525.0,117,917814.0,Priority,Call Center,0.52,319788.0,25000,12.7915
C00732,0.7929,3848777.0,84,278651.0,Mass,SMS,0.1558,15352.0,3000,5.1173
C00733,0.569,23471499.0,29,485088.0,Mass,Call Center,0.3184,71908.0,25000,2.8763
C00734,0.4893,7171067.0,168,794601.0,Mass,SMS,0.2015,80906.0,3000,26.9686
C00735,0.2596,131532589.0,1,100000.0,Mass,Call Center,0.3451,21404.0,25000,0.8562
C00736,0.3615,14013962.0,30,241473.0,Mass,SMS,0.1755,24124.0,3000,8.0413
C00737,0.4748,49421315.0,123,3950317.0,Mass,SMS,0.2035,412148.0,3000,137.3828
C00738,0.3256,74279786.0,34,1390037.0,Mass,SMS,0.1825,148983.0,3000,49.661
C00739,0.0864,9620992.0,20,100000.0,Mass,SMS,0.1977,13975.0,3000,4.6584
C00740,0.1682,26975335.0,108,1297835.0,Affluent,Call Center,0.5175,447268.0,25000,17.8907
C00741,0.4486,43481855.0,5,137490.0,Affluent,SMS,0.1485,10733.0,3000,3.5775
C00742,0.2482,28062159.0,49,685884.0,Mass,Call Center,0.4265,183096.0,25000,7.3238
C00743,0.1959,35872701.0,116,1930671.0,Priority,SMS,0.2426,305355.0,3000,101.7849
C00744,0.2674,6614382.0,34,115049.0,Affluent,Call Center,0.3972,28166.0,25000,1.1266
C00745,0.0533,43506574.0,137,2198653.0,Affluent,Field Agent,0.7614,1210842.0,180000,6.7269
C00746,0.3588,15374521.0,18,158448.0,Affluent,Field Agent,0.4844,43790.0,180000,0.2433
C00747,0.2851,35457225.0,111,2060088.0,Mass,WhatsApp,0.3106,388681.0,5000,77.7361
C00748,0.0683,62731560.0,14,332742.0,Mass,SMS,0.1945,46319.0,3000,15.4396
C00749,0.1676,48797756.0,132,2866748.0,Affluent,Call Center,0.5177,988785.0,25000,39.5514
C00750,0.088,35431298.0,136,1888937.0,Mass,SMS,0.2577,343636.0,3000,114.5454
C00751,0.348,47513036.0,144,3867903.0,Affluent,Call Center,0.4647,1035297.0,25000,41.4119
C00752,0.2025,49763754.0,51,1188546.0,Affluent,Field Agent,0.6097,470131.0,180000,2.6118
C00753,0.1237,111539299.0,43,1994352.0,Mass,Field Agent,0.618,848086.0,180000,4.7116
C00754,0.5814,24163063.0,177,3083321.0,Mass,SMS,0.1886,267097.0,3000,89.0324
C00755,0.4222,29454091.0,132,2390277.0,Priority,WhatsApp,0.2847,366740.0,5000,73.3479
C00756,0.2537,63493824.0,33,1052812.0,Mass,WhatsApp,0.2564,168218.0,5000,33.6437
C00757,0.2724,15309725.0,6,100000.0,Affluent,Call Center,0.3506,21517.0,25000,0.8607
C00758,0.2552,6577195.0,64,211917.0,Priority,Call Center,0.4493,59270.0,25000,2.3708
C00759,0.2919,40939935.0,120,2593555.0,Mass,WhatsApp,0.3093,484624.0,5000,96.9249
C00760,0.1727,20345345.0,68,620445.0,Mass,Field Agent,0.6606,272010.0,180000,1.5112
C00761,0.593,7473388.0,146,795075.0,Mass,SMS,0.187,67416.0,3000,22.472
C00762,0.3753,41240375.0,91,2190000.0,Affluent,WhatsApp,0.2936,361527.0,5000,72.3054
C00763,0.2189,104585910.0,179,8972791.0,Mass,Call Center,0.5026,2888796.0,25000,115.5518
C00764,0.2775,4899501.0,157,398699.0,Mass,Field Agent,0.6703,163370.0,180000,0.9076
C00765,0.2277,69491248.0,85,2865508.0,Mass,WhatsApp,0.3161,576240.0,5000,115.2481
C00766,0.1344,1977450.0,151,126277.0,Mass,SMS,0.2512,21659.0,3000,7.2196
C00767,0.4851,16753198.0,81,891205.0,Mass,WhatsApp,0.2646,119675.0,5000,23.935
C00768,0.0374,157494689.0,2,112848.0,Mass,SMS,0.1871,15441.0,3000,5.1469
C00769,0.1432,18003241.0,56,432278.0,Affluent,Field Agent,0.6427,188490.0,180000,1.0472
C00770,0.4865,27352672.0,74,1331158.0,Mass,WhatsApp,0.258,174053.0,5000,34.8106
C00771,0.4913,53610344.0,176,6235819.0,Affluent,SMS,0.2012,632793.0,3000,210.931
C00772,0.2439,4492468.0,150,334197.0,Affluent,WhatsApp,0.3184,66830.0,5000,13.366
C00773,0.136,26868931.0,27,307604.0,Mass,Field Agent,0.5749,120614.0,180000,0.6701
C00774,0.1283,26657989.0,1,100000.0,Mass,SMS,0.1773,12157.0,3000,4.0524
C00775,0.2581,160966585.0,96,7810321.0,Mass,Field Agent,0.6782,3288987.0,180000,18.2722
C00776,0.0952,7265485.0,97,279630.0,Mass,Call Center,0.539,105873.0,25000,4.2349
C00777,0.3084,17070238.0,133,1223598.0,Mass,WhatsApp,0.3062,223227.0,5000,44.6455
C00778,0.3755,9880074.0,47,271040.0,Mass,WhatsApp,0.2515,38319.0,5000,7.6638
C00779,0.2438,8885885.0,147,647712.0,Mass,SMS,0.2359,95958.0,3000,31.986
C00780,0.3075,77190667.0,75,3116389.0,Mass,WhatsApp,0.2911,540876.0,5000,108.1752
C00781,0.3944,25675246.0,61,933859.0,Mass,Field Agent,0.5627,290471.0,180000,1.6137
C00782,0.272,14343669.0,76,561070.0,Mass,WhatsApp,0.2985,102821.0,5000,20.5643
C00783,0.2502,14895065.0,171,1273900.0,Mass,SMS,0.235,187047.0,3000,62.349
C00784,0.6432,14234217.0,71,770201.0,Mass,SMS,0.1686,55621.0,3000,18.5403
C00785,0.3316,15565745.0,101,871573.0,Mass,SMS,0.2236,113842.0,3000,37.9474
C00786,0.4022,7059897.0,161,683620.0,Mass,SMS,0.2137,80191.0,3000,26.7304
C00787,0.3203,19300795.0,4,100000.0,Mass,WhatsApp,0.2168,12790.0,5000,2.5579
C00788,0.2893,17455750.0,97,890917.0,Mass,Field Agent,0.6656,358961.0,180000,1.9942
C00789,0.2826,11717449.0,128,782548.0,Mass,WhatsApp,0.3111,148176.0,5000,29.6351
C00790,0.3833,29192799.0,163,2802221.0,Mass,Call Center,0.4543,710773.0,25000,28.4309
C00791,0.0808,31777716.0,12,147642.0,Priority,Call Center,0.402,42118.0,25000,1.6847
C00792,0.488,14328185.0,131,1236348.0,Mass,SMS,0.2017,126163.0,3000,42.0544
C00793,0.2561,21644290.0,145,1581942.0,Mass,SMS,0.2341,230379.0,3000,76.7929
C00794,0.0602,216480300.0,64,5174540.0,Mass,WhatsApp,0.3225,1201388.0,5000,240.2777
C00795,0.1211,208368695.0,135,11648134.0,Affluent,Call Center,0.5314,4267388.0,25000,170.6955
C00796,0.1275,8712734.0,89,324408.0,Priority,Call Center,0.5277,117485.0,25000,4.6994
C00797,0.0708,10018449.0,119,453679.0,Mass,SMS,0.2601,84319.0,3000,28.1064
C00798,0.2702,8666565.0,71,315934.0,Mass,WhatsApp,0.2936,57036.0,5000,11.4073
C00799,0.3288,71947002.0,32,1272079.0,Mass,WhatsApp,0.2439,181693.0,5000,36.3386
C00800,0.1896,16782665.0,150,1157369.0,Affluent,WhatsApp,0.3287,249223.0,5000,49.8445
C00801,0.1886,31770878.0,39,568830.0,Mass,SMS,0.2022,75409.0,3000,25.1364
C00802,0.1034,184167037.0,34,2518671.0,Affluent,WhatsApp,0.2806,493484.0,5000,98.6968
C00803,0.3438,24739744.0,160,2226801.0,Mass,Call Center,0.4659,599758.0,25000,23.9903
C00804,0.5101,50659387.0,169,5765175.0,Mass,WhatsApp,0.2681,765013.0,5000,153.0026
C00805,0.1827,42068388.0,110,2106187.0,Mass,SMS,0.2444,339065.0,3000,113.0217
C00806,0.1835,13882908.0,105,664240.0,Mass,Field Agent,0.7085,309776.0,180000,1.721
C00807,0.3966,72098811.0,65,2801091.0,Mass,SMS,0.1966,303844.0,3000,101.2813
C00808,0.2771,10688571.0,111,614632.0,Affluent,WhatsApp,0.3121,117307.0,5000,23.4614
C00809,0.1591,95464611.0,110,4614083.0,Mass,Call Center,0.5202,1609352.0,25000,64.3741
C00810,0.2713,13893552.0,94,671543.0,Mass,Call Center,0.4872,201016.0,25000,8.0406
C00811,0.0832,15501055.0,118,711128.0,Affluent,SMS,0.2584,130153.0,3000,43.3843
C00812,0.1852,8418132.0,100,384554.0,Affluent,WhatsApp,0.3295,83296.0,5000,16.6592
C00813,0.1894,9920630.0,159,724933.0,Affluent,SMS,0.2435,115671.0,3000,38.5571
C00814,0.3209,16315434.0,121,1080460.0,Affluent,Call Center,0.4726,301053.0,25000,12.0421
C00815,0.4593,2197955.0,70,100000.0,Mass,SMS,0.192,9990.0,3000,3.3301
C00816,0.3419,19797259.0,118,1311147.0,Affluent,Call Center,0.4665,354167.0,25000,14.1667
C00817,0.2472,15042832.0,42,314711.0,Mass,Field Agent,0.5734,113044.0,180000,0.628
C00818,0.2921,55085522.0,39,1134509.0,Priority,Call Center,0.3993,273605.0,25000,10.9442
C00819,0.1554,38162622.0,149,2484614.0,Affluent,SMS,0.2482,414652.0,3000,138.2175
C00820,0.356,12320178.0,105,738205.0,Mass,Field Agent,0.6385,269603.0,180000,1.4978
C00821,0.5554,15804980.0,10,111206.0,Mass,Call Center,0.2961,15549.0,25000,0.622
C00822,0.2557,19771822.0,64,637547.0,Affluent,Field Agent,0.6203,246035.0,180000,1.3669
C00823,0.3646,110479765.0,178,11334813.0,Affluent,SMS,0.219,1408985.0,3000,469.6616
C00824,0.1489,10985444.0,115,546527.0,Mass,Field Agent,0.7225,266764.0,180000,1.482
C00825,0.3577,12171719.0,157,1092733.0,Priority,Call Center,0.4618,288223.0,25000,11.5289
C00826,0.4217,8087274.0,99,491979.0,Mass,SMS,0.211,55956.0,3000,18.6519
C00827,0.3477,5679347.0,8,100000.0,Mass,SMS,0.1608,9266.0,3000,3.0886
C00828,0.4754,33983647.0,33,729216.0,Mass,WhatsApp,0.2225,83114.0,5000,16.6228
C00829,0.4171,30623851.0,17,318312.0,Mass,Field Agent,0.4643,80023.0,180000,0.4446
C00830,0.3524,90164671.0,133,6814519.0,Mass,SMS,0.2207,862847.0,3000,287.6156
C00831,0.298,70830155.0,137,5162305.0,Affluent,WhatsApp,0.3082,956153.0,5000,191.2307
C00832,0.2959,274785980.0,83,12102088.0,Mass,SMS,0.2232,1626457.0,3000,542.1524
C00833,0.1864,23219746.0,131,1391887.0,Affluent,SMS,0.2439,222980.0,3000,74.3267
C00834,0.0474,19266084.0,100,703115.0,Affluent,Call Center,0.5531,282426.0,25000,11.2971
C00835,0.409,6811753.0,134,553119.0,Mass,Field Agent,0.617,186160.0,180000,1.0342
C00836,0.3924,50171844.0,122,3641406.0,Affluent,Field Agent,0.6237,1257808.0,180000,6.9878
C00837,0.4201,28146136.0,83,1433027.0,Affluent,Field Agent,0.5981,462804.0,180000,2.5711
C00838,0.0057,47949201.0,118,1907627.0,Mass,WhatsApp,0.3634,517960.0,5000,103.592
C00839,0.1278,8002481.0,58,194273.0,Mass,Call Center,0.4729,63037.0,25000,2.5215
C00840,0.2528,35533646.0,135,2407333.0,Mass,SMS,0.2346,352219.0,3000,117.4062
C00841,0.2417,30694253.0,165,2504122.0,Mass,WhatsApp,0.3188,502316.0,5000,100.4631
C00842,0.3875,28729109.0,38,645896.0,Mass,SMS,0.1784,64083.0,3000,21.3609
C00843,0.2121,12624128.0,121,725161.0,Mass,Call Center,0.5046,235653.0,25000,9.4261
C00844,0.12,82121551.0,20,678910.0,Priority,WhatsApp,0.2621,122757.0,5000,24.5514
C00845,0.5476,194257268.0,68,9225174.0,Affluent,Field Agent,0.5196,2282589.0,180000,12.681
C00846,0.4432,8236140.0,121,626637.0,Affluent,Call Center,0.4367,144600.0,25000,5.784
C00847,0.1665,51383638.0,50,1141575.0,Priority,Field Agent,0.62,471920.0,180000,2.6218
C00848,0.4606,1406389.0,43,100000.0,Mass,Call Center,0.364,18914.0,25000,0.7566
C00849,0.4047,48788068.0,70,2059873.0,Mass,WhatsApp,0.2688,303227.0,5000,60.6455
C00850,0.0557,3852496.0,21,100000.0,Mass,Call Center,0.424,30619.0,25000,1.2247
C00851,0.1754,14789367.0,113,752433.0,Mass,WhatsApp,0.3314,165134.0,5000,33.0267
C00852,0.2113,6725129.0,24,100000.0,Mass,Call Center,0.3938,25373.0,25000,1.0149
C00853,0.4086,20151210.0,60,732379.0,Affluent,WhatsApp,0.2585,103330.0,5000,20.666
C00854,0.2681,57839361.0,57,1688190.0,Mass,Call Center,0.4345,451793.0,25000,18.0717
C00855,0.1855,3902286.0,175,312079.0,Mass,WhatsApp,0.3294,67574.0,5000,13.5148
C00856,0.1807,17450986.0,179,1417626.0,Mass,Call Center,0.5139,480519.0,25000,19.2207
C00857,0.3438,14961901.0,15,126250.0,Mass,WhatsApp,0.2246,16395.0,5000,3.279
C00858,0.1904,121501245.0,29,1621709.0,Mass,WhatsApp,0.2617,277924.0,5000,55.5849
C00859,0.5451,38499176.0,132,3540686.0,Mass,SMS,0.1937,327433.0,3000,109.1442
C00860,0.4814,7703376.0,54,272170.0,Affluent,Call Center,0.3744,51898.0,25000,2.0759
C00861,0.3454,15604845.0,116,1020182.0,Affluent,SMS,0.2216,130542.0,3000,43.5139
C00862,0.3962,118507952.0,166,11754068.0,Mass,SMS,0.2145,1391599.0,3000,463.8665
C00863,0.322,51072242.0,30,839627.0,Mass,SMS,0.1799,88986.0,3000,29.6619
C00864,0.4326,9980592.0,174,1079676.0,Mass,SMS,0.2094,120689.0,3000,40.2295
C00865,0.2238,19140477.0,10,100000.0,Mass,WhatsApp,0.2363,15077.0,5000,3.0154
C00866,0.6738,19762114.0,42,649487.0,Mass,WhatsApp,0.1992,53452.0,5000,10.6905
C00867,0.5974,14598137.0,92,982549.0,Mass,SMS,0.1864,82640.0,3000,27.5467
C00868,0.0194,4520686.0,159,248890.0,Mass,Call Center,0.5613,103421.0,25000,4.1369
C00869,0.1343,12695583.0,100,536830.0,Mass,Call Center,0.5275,193381.0,25000,7.7352
C00870,0.3229,100290917.0,26,1430550.0,Mass,SMS,0.1768,148884.0,3000,49.6279
C00871,0.4159,17076980.0,45,469211.0,Affluent,WhatsApp,0.243,61809.0,5000,12.3618
C00872,0.1349,22547455.0,138,1316924.0,Mass,Field Agent,0.7282,654619.0,180000,3.6368
C00873,0.4429,28771965.0,102,1844808.0,Mass,Call Center,0.4368,425889.0,25000,17.0356
C00874,0.1816,229755849.0,3,313225.0,Mass,Field Agent,0.5036,103972.0,180000,0.5776
C00875,0.3053,25222857.0,91,1232335.0,Affluent,Field Agent,0.659,485114.0,180000,2.6951
C00876,0.297,74650795.0,74,2935183.0,Mass,WhatsApp,0.2919,515387.0,5000,103.0774
C00877,0.152,13745282.0,1,100000.0,Mass,SMS,0.1749,11790.0,3000,3.9301
C00878,0.33,19287873.0,45,480275.0,Mass,Call Center,0.3995,112237.0,25000,4.4895
C00879,0.1816,25315796.0,169,1944104.0,Affluent,Field Agent,0.7093,908962.0,180000,5.0498
C00880,0.1175,11527585.0,127,602641.0,Affluent,Call Center,0.5325,221819.0,25000,8.8728
C00881,0.0392,20392314.0,13,100000.0,Mass,SMS,0.1966,14361.0,3000,4.7869
C00882,0.4091,60759701.0,3,110468.0,Mass,SMS,0.151,9101.0,3000,3.0337
C00883,0.3199,11229130.0,63,386670.0,Mass,Call Center,0.4304,98198.0,25000,3.9279
C00884,0.3051,25002226.0,84,1127173.0,Mass,Field Agent,0.646,435030.0,180000,2.4168
C00885,0.1293,50785424.0,82,1747035.0,Mass,WhatsApp,0.331,396322.0,5000,79.2645
C00886,0.2107,10961726.0,126,654412.0,Mass,WhatsApp,0.3247,136969.0,5000,27.3937
C00887,0.3272,74760496.0,32,1319304.0,Mass,SMS,0.1808,139910.0,3000,46.6367
C00888,0.1891,26890130.0,9,111182.0,Priority,SMS,0.1778,12955.0,3000,4.3183
C00889,0.5316,21194745.0,122,1778381.0,Mass,WhatsApp,0.264,227336.0,5000,45.4673
C00890,0.3942,3355927.0,162,324109.0,Mass,SMS,0.2148,38492.0,3000,12.8306
C00891,0.2709,17206090.0,31,274114.0,Affluent,WhatsApp,0.2517,42400.0,5000,8.48
C00892,0.3231,36251046.0,66,1312815.0,Affluent,Call Center,0.4343,335489.0,25000,13.4195
C00893,0.4513,143196934.0,113,10262261.0,Mass,Call Center,0.4343,2337032.0,25000,93.4813
C00894,0.5685,44113461.0,30,942721.0,Mass,Call Center,0.3199,140450.0,25000,5.618
C00895,0.5358,77099135.0,155,8251728.0,Mass,WhatsApp,0.2632,1047278.0,5000,209.4555
C00896,0.1137,7461610.0,41,125174.0,Affluent,SMS,0.2126,18443.0,3000,6.1478
C00897,0.1574,22022251.0,96,926600.0,Mass,Call Center,0.5207,323891.0,25000,12.9556
C00898,0.1097,84742925.0,62,2135699.0,Priority,WhatsApp,0.3117,462716.0,5000,92.5432
C00899,0.3959,10289688.0,121,743605.0,Mass,WhatsApp,0.2897,118919.0,5000,23.7838
C00900,0.4882,65634302.0,36,1556579.0,Mass,Call Center,0.3473,273463.0,25000,10.9385
C00901,0.1873,52049422.0,18,429282.0,Mass,SMS,0.1853,52202.0,3000,17.4007
C00902,0.2137,32904172.0,92,1440250.0,Mass,SMS,0.2401,222400.0,3000,74.1333
C00903,0.1819,17996426.0,156,1276288.0,Mass,Call Center,0.5135,431935.0,25000,17.2774
C00904,0.118,9323897.0,114,437942.0,Affluent,SMS,0.2535,76705.0,3000,25.5684
C00905,0.6667,147562988.0,137,15723986.0,Mass,Call Center,0.371,2430548.0,25000,97.2219
C00906,0.253,47027773.0,79,1864917.0,Priority,WhatsApp,0.3051,354752.0,5000,70.9503
C00907,0.3861,35145337.0,26,539828.0,Mass,WhatsApp,0.2293,68946.0,5000,13.7892
C00908,0.636,16544043.0,77,964777.0,Mass,WhatsApp,0.2337,97403.0,5000,19.4805
C00909,0.5888,25964947.0,178,3354639.0,Mass,SMS,0.1876,286698.0,3000,95.5662
C00910,0.0925,29476493.0,141,1641806.0,Mass,Call Center,0.5398,623670.0,25000,24.9468
C00911,0.2485,37290981.0,127,2363371.0,Mass,Field Agent,0.6821,1008699.0,180000,5.6039
C00912,0.3372,52102666.0,55,1599503.0,Affluent,SMS,0.1968,183001.0,3000,61.0004
C00913,0.5434,11431861.0,108,858786.0,Mass,Field Agent,0.5624,231017.0,180000,1.2834
