Interaction_ID,Customer_ID,Channel,Intent,Risk_Level,Retrieved_Documents,Response_Time_Sec,Groundedness_Score,Answer_Relevance_Score,User_Rating,Escalated_To_Human,PII_Redacted,Safe_Response
INT0000311,C000666,Internal Desk,Transaction Help,High,4,3.66,0.841,0.811,5,False,True,True
INT0000312,C000672,Mobile App,Transaction Help,High,4,4.38,0.873,0.978,4,False,True,True
INT0000313,C000119,Web,Loan,Low,2,4.67,0.882,0.893,3,False,True,True
INT0000314,C000281,Mobile App,Loan,Medium,4,3.79,0.815,0.821,5,False,True,True
INT0000315,C000244,Web,KYC,Low,1,1.41,0.708,1.0,4,False,True,False
INT0000316,C000659,Internal Desk,Complaint,Low,1,5.11,0.84,1.0,3,False,True,True
INT0000317,C000730,Web,Policy,Medium,4,3.7,0.922,0.921,4,False,True,True
INT0000318,C000727,Mobile App,Complaint,Low,3,5.89,0.902,0.957,4,False,True,True
INT0000319,C000938,Web,Loan,Low,2,2.53,0.998,0.961,4,False,True,True
INT0000320,C000768,Web,General,Low,1,0.92,1.0,1.0,3,True,True,True
INT0000321,C000321,Mobile App,Loan,Low,2,3.74,0.958,0.958,4,False,True,True
INT0000322,C000108,Mobile App,KYC,Low,3,6.13,1.0,0.794,5,False,True,False
INT0000323,C000615,Web,General,Medium,4,4.09,0.959,1.0,4,False,True,True
INT0000324,C000916,Internal Desk,General,Medium,4,3.44,1.0,0.985,4,True,True,True
INT0000325,C000975,Mobile App,Fraud,Medium,2,2.23,1.0,0.859,5,True,True,True
INT0000326,C000230,Web,Fraud,Medium,2,6.96,0.976,0.818,5,False,True,True
INT0000327,C000237,Mobile App,Transaction Help,Low,1,1.95,0.954,0.94,5,False,True,True
INT0000328,C000038,Mobile App,Loan,Medium,1,2.49,0.872,0.878,2,False,True,True
INT0000329,C000142,Mobile App,General,Low,2,4.83,0.886,0.926,5,False,True,True
INT0000330,C000555,Web,Fraud,Low,3,0.5,0.86,0.959,5,False,True,True
INT0000331,C000547,Web,Complaint,High,1,6.09,0.946,0.855,5,False,True,True
INT0000332,C000371,Internal Desk,Product Info,Low,2,4.92,0.825,0.811,4,False,True,True
INT0000333,C000310,Internal Desk,Fraud,Low,3,5.42,0.873,0.931,3,True,True,True
INT0000334,C000829,Mobile App,Transaction Help,Low,4,4.8,0.678,0.857,4,False,True,False
INT0000335,C000460,Internal Desk,General,Low,4,3.51,1.0,0.912,4,False,True,True
INT0000336,C000808,Mobile App,Loan,Low,2,1.89,0.87,0.793,5,False,True,False
INT0000337,C000963,Mobile App,Transaction Help,Low,2,3.55,0.931,0.88,5,True,True,True
INT0000338,C000317,Mobile App,Product Info,High,4,2.04,1.0,0.957,4,True,True,True
INT0000339,C000203,Mobile App,Policy,Low,3,4.68,0.917,0.948,4,False,True,True
INT0000340,C000952,Mobile App,General,Low,2,5.25,1.0,0.837,5,False,True,True
INT0000341,C000635,Web,Policy,Low,3,6.46,0.778,0.807,4,False,True,False
INT0000342,C000291,Mobile App,Product Info,Medium,1,4.47,1.0,0.901,4,False,True,True
INT0000343,C000622,Web,Product Info,Low,2,5.46,0.988,0.945,5,False,True,True
INT0000344,C000515,Web,Transaction Help,Low,2,3.27,0.909,0.932,5,False,True,True
INT0000345,C000905,Mobile App,Policy,Low,4,2.94,1.0,0.859,5,False,True,True
INT0000346,C000256,Web,Policy,Medium,1,4.65,0.785,0.924,4,False,True,False
INT0000347,C000991,Web,Policy,Medium,4,3.1,0.864,1.0,3,False,True,True
INT0000348,C000936,Mobile App,Product Info,Medium,2,4.28,1.0,0.916,4,False,True,True
INT0000349,C000181,Mobile App,Transaction Help,Medium,1,1.89,0.722,0.769,4,False,True,False
INT0000350,C000165,Web,General,Low,3,2.21,0.94,0.916,4,False,True,True
INT0000351,C000533,Web,General,Low,3,4.94,0.938,1.0,4,False,True,True
INT0000352,C000045,Web,KYC,Low,1,5.4,1.0,0.797,4,False,True,False
INT0000353,C000299,Mobile App,Product Info,Low,1,2.03,0.748,0.902,4,False,True,False
INT0000354,C000435,Mobile App,Product Info,Low,1,5.01,1.0,0.882,3,False,True,True
INT0000355,C000969,Web,Product Info,Low,2,2.84,0.84,0.908,5,False,False,False
INT0000356,C000992,Mobile App,KYC,Low,1,3.83,0.85,0.916,4,False,True,True
INT0000357,C000152,Web,Policy,Medium,3,6.35,0.78,0.991,4,False,True,False
INT0000358,C000891,Web,KYC,Low,1,5.25,0.792,0.907,5,False,True,False
INT0000359,C000091,Internal Desk,Complaint,Medium,4,5.23,0.926,1.0,5,False,False,False
INT0000360,C000748,Web,Policy,Medium,4,7.24,0.79,0.891,5,False,True,False
INT0000361,C000845,Web,Product Info,Low,3,2.53,0.957,0.872,4,False,True,True
INT0000362,C000890,Web,Policy,Low,4,2.03,0.83,0.846,5,False,True,True
INT0000363,C000224,Mobile App,General,Medium,4,2.5,0.781,0.755,5,False,True,False
INT0000364,C000893,Internal Desk,KYC,Medium,1,3.34,0.842,0.922,5,False,True,True
INT0000365,C000116,Internal Desk,General,Low,2,0.5,0.92,1.0,3,False,True,True
INT0000366,C000519,Web,Loan,Low,4,3.43,0.865,0.937,4,False,True,True
INT0000367,C000470,Web,Fraud,Medium,2,2.82,0.893,0.955,5,False,True,True
INT0000368,C000316,Mobile App,Complaint,Medium,3,5.21,0.953,0.867,4,False,True,True
INT0000369,C000023,Web,General,Low,4,4.43,0.987,0.88,5,False,True,True
INT0000370,C000772,Mobile App,KYC,Low,4,2.72,0.862,0.979,4,False,True,True
INT0000371,C000336,Mobile App,Transaction Help,High,2,4.86,0.796,1.0,4,False,True,False
INT0000372,C000661,Web,General,Low,2,5.1,0.897,1.0,5,False,True,True
INT0000373,C000410,Mobile App,Product Info,Medium,1,2.42,0.932,0.964,4,False,True,True
INT0000374,C000374,Web,Loan,Low,2,2.91,0.759,0.903,4,False,True,False
INT0000375,C000886,Web,Transaction Help,Low,2,0.5,0.81,0.917,5,True,True,True
INT0000376,C000095,Mobile App,KYC,Low,2,1.84,0.825,0.84,3,False,True,True
INT0000377,C000736,Mobile App,Fraud,Low,2,2.46,0.871,0.784,4,False,True,False
INT0000378,C000747,Mobile App,Fraud,High,4,3.93,0.822,0.81,5,True,True,True
INT0000379,C000380,Mobile App,KYC,Low,4,2.1,0.954,0.904,4,False,True,True
INT0000380,C000263,Internal Desk,Policy,High,3,2.88,0.746,0.877,5,False,True,False
INT0000381,C000006,Internal Desk,Fraud,Low,1,1.59,0.748,0.782,3,True,True,False
INT0000382,C000936,Mobile App,General,Medium,2,4.11,0.86,0.897,3,False,True,True
INT0000383,C000947,Web,Fraud,High,3,4.57,0.874,0.875,5,False,True,True
INT0000384,C000241,Mobile App,Transaction Help,Medium,1,4.52,0.759,0.806,5,False,True,False
INT0000385,C000032,Internal Desk,Product Info,Low,2,3.82,0.835,0.87,4,False,True,True
INT0000386,C000123,Web,Transaction Help,Medium,3,1.03,0.854,0.874,5,False,True,True
INT0000387,C000068,Mobile App,KYC,Low,4,2.68,0.855,0.851,5,False,True,True
INT0000388,C000831,Web,Loan,High,4,3.07,0.904,0.974,4,True,True,True
INT0000389,C000892,Web,Complaint,Low,2,3.07,0.83,0.748,4,True,True,False
INT0000390,C000154,Mobile App,Fraud,Low,2,3.93,1.0,0.741,4,False,False,False
INT0000391,C000746,Web,Policy,Low,2,6.37,0.934,0.9,5,False,True,True
INT0000392,C000180,Mobile App,Loan,Medium,3,5.26,0.817,0.908,3,False,True,True
INT0000393,C000367,Mobile App,Product Info,High,2,2.02,0.899,0.932,4,True,True,True
INT0000394,C000599,Mobile App,Product Info,Low,2,5.02,0.901,0.857,4,False,True,True
INT0000395,C000720,Web,Fraud,Medium,1,4.95,0.999,0.827,5,False,False,False
INT0000396,C000874,Web,Fraud,High,2,2.35,0.836,0.899,4,False,True,True
INT0000397,C000045,Mobile App,Policy,Low,1,5.33,0.959,0.865,4,False,False,False
INT0000398,C000197,Mobile App,Loan,Low,3,3.51,0.894,1.0,5,True,True,True
INT0000399,C000281,Mobile App,Policy,Medium,4,1.26,1.0,0.874,4,False,True,True
INT0000400,C000311,Mobile App,Loan,Medium,4,4.62,1.0,0.896,4,False,False,False
INT0000401,C000998,Web,Complaint,Low,2,4.19,0.908,1.0,3,False,True,True
INT0000402,C000777,Mobile App,KYC,Medium,4,3.39,0.866,0.884,4,False,False,False
INT0000403,C000321,Web,Loan,Low,4,3.73,0.936,0.944,5,False,True,True
INT0000404,C000971,Web,KYC,High,2,2.51,0.874,0.952,4,False,True,True
INT0000405,C000499,Mobile App,Transaction Help,High,4,4.9,1.0,0.959,5,False,True,True
INT0000406,C000501,Web,KYC,Medium,2,3.72,0.897,0.923,5,False,True,True
INT0000407,C000434,Web,Complaint,Low,4,4.1,0.853,0.916,5,False,True,True
INT0000408,C000144,Web,Policy,Low,2,4.44,0.849,0.908,4,False,True,True
INT0000409,C000934,Web,Policy,Low,2,1.72,0.781,0.854,3,False,True,False
INT0000410,C000014,Mobile App,Loan,Low,1,2.19,0.94,0.926,4,False,True,True
INT0000411,C000175,Web,General,Medium,4,0.5,0.816,1.0,4,False,True,True
INT0000412,C000230,Mobile App,Loan,Low,2,4.82,0.989,0.997,4,False,True,True
INT0000413,C000280,Mobile App,Product Info,Low,4,1.62,0.774,0.924,4,False,True,False
INT0000414,C000132,Web,Loan,Low,1,4.04,0.901,0.968,5,False,True,True
INT0000415,C000018,Web,Policy,Low,3,4.47,0.994,0.83,5,False,False,False
INT0000416,C000677,Mobile App,Product Info,Low,2,4.88,0.696,0.879,5,False,True,False
INT0000417,C000969,Mobile App,Product Info,Medium,2,1.63,1.0,0.976,5,False,True,True
INT0000418,C000122,Mobile App,Complaint,Medium,1,3.68,0.852,1.0,4,False,True,True
INT0000419,C000297,Mobile App,Policy,Low,1,6.81,0.903,0.838,3,False,True,True
INT0000420,C000506,Web,Loan,Medium,2,6.89,0.941,0.861,5,False,True,True
INT0000421,C000927,Web,General,Medium,2,5.58,0.955,1.0,3,False,True,True
INT0000422,C000694,Mobile App,Policy,Low,4,4.41,0.915,0.908,4,False,True,True
INT0000423,C000766,Web,Loan,Medium,2,1.99,0.98,1.0,5,False,True,True
INT0000424,C000581,Mobile App,KYC,Low,1,5.09,0.937,0.917,4,False,True,True
INT0000425,C000417,Mobile App,Complaint,Low,2,3.52,1.0,0.92,4,False,True,True
INT0000426,C000200,Mobile App,Product Info,Low,3,4.81,0.937,0.876,3,False,True,True
INT0000427,C000864,Mobile App,Fraud,Low,2,2.66,1.0,0.975,4,False,True,True
INT0000428,C000804,Web,Loan,High,4,3.49,0.971,1.0,5,False,True,True
INT0000429,C000026,Web,Transaction Help,High,2,4.1,0.727,0.817,4,False,True,False
INT0000430,C000715,Web,Transaction Help,Medium,3,4.24,1.0,0.872,4,False,True,True
INT0000431,C000085,Mobile App,Product Info,Medium,1,4.69,0.838,0.973,3,True,True,True
INT0000432,C000739,Web,KYC,Medium,1,2.76,1.0,0.89,4,False,True,True
INT0000433,C000826,Web,General,High,4,1.38,0.892,0.861,5,False,True,True
INT0000434,C000131,Web,Policy,Low,2,6.72,0.985,0.981,4,False,True,True
INT0000435,C000434,Web,Fraud,Low,2,8.28,0.828,0.988,4,False,True,True
INT0000436,C000124,Mobile App,Loan,Medium,3,4.61,0.946,0.864,3,False,False,False
INT0000437,C000567,Web,General,Low,1,1.42,0.867,0.917,5,False,True,True
INT0000438,C000927,Internal Desk,Loan,Low,3,2.41,1.0,0.803,4,False,True,True
INT0000439,C000081,Web,Complaint,Low,2,4.72,0.929,0.828,5,False,True,True
INT0000440,C000398,Mobile App,Complaint,Medium,1,6.21,0.974,0.91,4,False,True,True
INT0000441,C000973,Web,KYC,Low,2,1.62,0.695,0.903,4,False,True,False
INT0000442,C000301,Web,Fraud,Low,2,3.58,0.882,0.823,4,True,True,True
INT0000443,C000133,Mobile App,Policy,Low,1,4.15,0.927,0.843,5,False,True,True
INT0000444,C000489,Internal Desk,Policy,Low,3,5.36,0.91,0.815,5,False,True,True
INT0000445,C000508,Mobile App,Product Info,High,3,3.18,0.977,0.936,4,False,True,True
INT0000446,C000663,Web,KYC,Low,2,0.99,0.857,0.743,5,False,True,False
INT0000447,C000314,Web,Complaint,Medium,4,4.92,0.894,0.819,3,False,True,True
INT0000448,C000955,Mobile App,Loan,Medium,3,5.82,0.996,0.751,3,False,True,False
INT0000449,C000521,Web,Complaint,Low,4,3.65,0.685,0.934,2,False,True,False
INT0000450,C000287,Mobile App,Complaint,Medium,1,4.53,0.943,0.756,5,False,True,False
INT0000451,C000960,Mobile App,Complaint,Medium,4,2.95,0.86,0.903,5,False,True,True
INT0000452,C000924,Mobile App,Product Info,Medium,2,2.28,0.808,1.0,5,True,True,True
INT0000453,C000499,Mobile App,Policy,Low,3,5.65,0.92,1.0,4,False,True,True
INT0000454,C000025,Mobile App,Transaction Help,Low,4,4.5,1.0,0.756,3,False,True,False
INT0000455,C000597,Web,Fraud,High,2,4.68,0.984,0.924,4,False,True,True
INT0000456,C000555,Web,Transaction Help,Medium,2,6.5,0.878,0.821,5,False,True,True
INT0000457,C000149,Mobile App,Transaction Help,High,1,1.9,0.969,0.805,4,False,True,True
INT0000458,C000634,Mobile App,Complaint,High,3,2.81,0.968,0.891,4,False,True,True
INT0000459,C000840,Web,General,Low,4,4.08,0.882,0.998,3,False,True,True
INT0000460,C000106,Web,General,Medium,2,2.78,0.828,0.948,5,False,True,True
INT0000461,C000723,Mobile App,Fraud,Low,1,5.21,0.833,0.843,4,False,True,True
INT0000462,C000141,Mobile App,Loan,Medium,2,3.46,0.965,0.956,3,True,True,True
INT0000463,C000749,Mobile App,General,Low,2,2.01,0.886,0.721,4,False,True,False
INT0000464,C000419,Web,Transaction Help,Low,4,3.92,0.796,0.84,3,False,True,False
INT0000465,C000007,Web,General,Medium,1,4.11,0.738,0.834,4,False,True,False
INT0000466,C000966,Mobile App,Product Info,Medium,2,5.48,0.965,0.906,4,False,True,True
INT0000467,C000166,Web,Transaction Help,Medium,3,4.51,0.841,0.884,4,False,True,True
INT0000468,C000596,Mobile App,Complaint,Low,1,4.63,0.92,0.889,5,False,True,True
INT0000469,C000182,Mobile App,Product Info,Low,4,4.38,1.0,0.886,4,False,True,True
INT0000470,C000933,Web,Policy,High,4,3.46,0.772,0.902,5,False,True,False
INT0000471,C000738,Web,Policy,Low,2,2.51,0.886,0.943,4,False,True,True
INT0000472,C000804,Web,Fraud,Low,3,4.32,0.875,0.912,5,False,True,True
INT0000473,C000432,Mobile App,Policy,Medium,4,3.2,0.924,0.877,4,False,True,True
INT0000474,C000467,Mobile App,Policy,Low,3,6.84,1.0,0.932,4,False,True,True
INT0000475,C000634,Web,Policy,Medium,1,6.22,0.77,0.966,4,False,True,False
INT0000476,C000784,Mobile App,Policy,Low,1,4.94,0.941,0.856,4,False,False,False
INT0000477,C000847,Mobile App,Loan,Medium,2,4.48,0.983,0.895,3,False,True,True
INT0000478,C000018,Mobile App,Product Info,High,1,3.64,0.873,0.993,4,False,True,True
INT0000479,C000663,Internal Desk,General,High,2,1.53,0.878,0.812,3,False,True,True
INT0000480,C000110,Web,Loan,Medium,3,3.41,0.928,1.0,4,False,True,True
INT0000481,C000288,Web,General,Low,3,3.98,0.921,0.793,3,False,True,False
INT0000482,C000829,Mobile App,General,Medium,1,4.21,0.942,0.872,4,False,True,True
INT0000483,C000251,Web,Transaction Help,Medium,1,4.65,0.941,0.824,5,True,True,True
INT0000484,C000797,Mobile App,Fraud,Medium,1,5.46,0.802,1.0,5,False,True,True
INT0000485,C000463,Web,Transaction Help,Medium,2,2.55,0.979,0.86,3,False,True,True
INT0000486,C000233,Web,Product Info,Medium,4,2.57,0.995,0.86,4,True,True,True
INT0000487,C000334,Web,General,Medium,2,6.41,0.907,0.87,4,False,True,True
INT0000488,C000531,Web,General,Medium,2,5.19,0.756,0.908,4,False,True,False
INT0000489,C000765,Web,General,Low,3,3.1,0.88,0.874,4,False,True,True
INT0000490,C000606,Web,General,Low,1,3.61,0.907,0.889,5,True,True,True
INT0000491,C000933,Mobile App,KYC,Medium,1,3.62,0.787,0.618,4,True,True,False
INT0000492,C000867,Web,Loan,Low,1,3.86,0.858,0.905,5,False,True,True
INT0000493,C000753,Web,General,Medium,3,4.65,0.763,0.901,5,False,True,False
INT0000494,C000603,Web,Loan,Medium,2,8.36,0.945,0.983,4,False,True,True
INT0000495,C000290,Web,KYC,Low,3,4.14,0.905,1.0,4,False,True,True
INT0000496,C000413,Web,Transaction Help,Medium,3,4.99,0.742,0.885,4,False,True,False
INT0000497,C000119,Mobile App,KYC,Medium,2,0.76,0.922,0.965,5,False,True,True
INT0000498,C000374,Web,Policy,Medium,4,2.93,0.885,0.812,3,False,True,True
INT0000499,C000926,Mobile App,KYC,Low,4,6.01,0.936,0.961,3,False,True,True
INT0000500,C000426,Internal Desk,Fraud,Medium,1,4.52,0.855,0.854,4,True,True,True
INT0000501,C000114,Web,Transaction Help,Low,4,0.5,0.818,0.805,5,False,True,True
INT0000502,C000652,Web,Product Info,Medium,1,5.01,0.821,0.885,5,True,False,False
INT0000503,C000962,Web,KYC,Low,1,7.25,0.842,1.0,5,False,True,True
INT0000504,C000867,Mobile App,KYC,Medium,3,0.5,0.892,0.914,5,False,True,True
INT0000505,C000274,Web,Policy,Medium,1,6.53,0.903,1.0,4,False,True,True
INT0000506,C000454,Mobile App,General,Medium,2,0.5,0.873,0.84,5,False,True,True
INT0000507,C000531,Mobile App,Fraud,Low,1,5.49,0.852,0.984,3,True,True,True
INT0000508,C000248,Mobile App,Policy,Medium,2,3.78,0.858,0.848,3,False,True,True
INT0000509,C000269,Mobile App,KYC,Medium,4,0.5,1.0,0.918,5,False,True,True
INT0000510,C000237,Internal Desk,Complaint,Low,4,4.6,0.821,0.917,4,False,True,True
INT0000511,C000994,Web,Policy,High,1,5.87,0.84,0.953,4,False,True,True
INT0000512,C000746,Web,Product Info,Medium,3,4.45,1.0,0.92,4,False,True,True
INT0000513,C000841,Web,Loan,High,2,4.85,0.928,0.841,4,True,True,True
INT0000514,C000816,Internal Desk,General,High,2,3.06,0.766,0.97,5,False,True,False
INT0000515,C000959,Mobile App,KYC,High,3,0.5,0.966,1.0,5,False,True,True
INT0000516,C000106,Mobile App,General,Medium,4,5.05,0.808,0.853,4,False,True,True
INT0000517,C000881,Web,Product Info,Medium,2,6.95,0.972,0.753,4,False,True,False
INT0000518,C000067,Internal Desk,Loan,Low,1,5.83,0.871,0.94,4,False,True,True
INT0000519,C000475,Mobile App,Policy,Low,4,0.5,0.85,0.874,4,False,True,True
INT0000520,C000594,Mobile App,KYC,Medium,4,1.07,1.0,0.89,4,False,True,True
INT0000521,C000358,Internal Desk,General,Low,2,2.28,0.941,0.944,5,False,True,True
INT0000522,C000147,Web,Fraud,Medium,3,0.93,0.978,0.863,4,False,True,True
INT0000523,C000193,Web,KYC,Low,4,3.88,0.929,0.878,5,False,True,True
INT0000524,C000824,Mobile App,Fraud,Low,3,4.51,0.85,0.892,4,False,True,True
INT0000525,C000319,Web,Policy,Low,2,1.23,0.945,1.0,5,False,True,True
INT0000526,C000311,Web,Product Info,Low,4,5.2,0.999,0.902,5,False,True,True
INT0000527,C000923,Web,Complaint,Low,4,4.88,0.902,0.801,5,False,True,True
INT0000528,C000144,Web,Product Info,Low,3,2.81,1.0,0.804,4,False,True,True
INT0000529,C000915,Mobile App,KYC,Medium,1,3.49,0.967,0.911,5,False,True,True
INT0000530,C000921,Mobile App,Transaction Help,Low,2,0.5,0.909,0.81,5,False,True,True
INT0000531,C000598,Web,Complaint,Low,3,3.2,0.913,0.775,4,False,True,False
INT0000532,C000166,Web,Policy,Low,2,3.81,0.902,0.951,4,False,True,True
INT0000533,C000156,Web,Complaint,Low,3,4.1,0.777,0.955,5,False,True,False
INT0000534,C000285,Mobile App,Transaction Help,Low,3,4.48,0.882,0.871,4,False,True,True
INT0000535,C000577,Internal Desk,Product Info,Medium,1,4.24,0.91,0.923,4,False,False,False
INT0000536,C000154,Internal Desk,Transaction Help,Medium,3,3.32,0.853,0.915,4,False,True,True
INT0000537,C000456,Web,General,Low,3,4.32,0.92,0.948,3,False,True,True
INT0000538,C000116,Web,Loan,Medium,1,5.6,0.892,0.948,5,False,True,True
INT0000539,C000540,Mobile App,General,Low,3,3.63,0.96,0.692,4,False,False,False
INT0000540,C000022,Mobile App,Transaction Help,Low,3,4.37,0.95,0.881,4,False,True,True
INT0000541,C000709,Mobile App,Complaint,High,1,3.46,0.905,0.941,4,False,True,True
INT0000542,C000056,Mobile App,Transaction Help,Low,3,2.64,0.767,0.867,4,False,False,False
INT0000543,C000195,Mobile App,Fraud,High,2,4.74,1.0,0.903,4,False,False,False
INT0000544,C000175,Web,Loan,Low,2,2.8,0.877,0.96,4,False,True,True
INT0000545,C000831,Web,Policy,Low,3,4.5,0.883,0.906,4,False,True,True
INT0000546,C000054,Web,Complaint,Low,1,3.85,0.859,1.0,4,False,True,True
INT0000547,C000429,Web,Policy,Low,1,3.25,0.846,0.99,4,False,True,True
INT0000548,C000591,Web,KYC,High,2,3.21,1.0,0.891,5,False,True,True
INT0000549,C000516,Mobile App,Complaint,Low,4,2.89,1.0,0.884,3,False,True,True
INT0000550,C000681,Web,General,Medium,1,0.84,0.93,0.672,4,False,True,False
INT0000551,C000803,Web,Fraud,Medium,4,4.49,0.88,0.874,4,False,True,True
INT0000552,C000394,Mobile App,Transaction Help,Medium,1,4.22,0.946,0.792,5,False,True,False
INT0000553,C000828,Mobile App,General,Low,2,5.33,0.897,0.918,3,False,True,True
INT0000554,C000318,Web,General,Low,2,2.84,0.873,0.912,4,False,True,True
INT0000555,C000984,Mobile App,Product Info,Low,2,7.21,0.92,0.956,4,False,True,True
INT0000556,C000505,Internal Desk,General,Medium,1,3.12,0.85,1.0,5,False,True,True
INT0000557,C000736,Mobile App,General,Low,4,2.22,0.913,0.898,4,False,True,True
INT0000558,C000875,Mobile App,Policy,High,2,2.01,0.908,1.0,3,False,True,True
INT0000559,C000792,Web,Complaint,Medium,4,0.68,0.944,0.919,4,False,True,True
INT0000560,C000851,Internal Desk,KYC,Low,3,6.56,0.834,0.795,5,False,True,False
INT0000561,C000536,Web,Loan,Medium,3,6.27,0.954,0.855,3,False,True,True
INT0000562,C000044,Internal Desk,Loan,Low,2,4.88,0.808,0.87,4,False,True,True
INT0000563,C000493,Mobile App,Loan,High,3,2.19,0.838,0.947,4,False,True,True
INT0000564,C000182,Web,KYC,Low,4,7.06,0.842,0.824,4,False,True,True
INT0000565,C000889,Web,Loan,High,4,3.17,0.794,0.876,5,True,True,False
INT0000566,C000237,Mobile App,KYC,Medium,4,3.32,0.981,0.887,4,False,True,True
INT0000567,C000228,Mobile App,Loan,Medium,1,6.39,0.803,0.864,5,False,True,True
INT0000568,C000250,Web,Product Info,Low,3,4.99,0.827,0.965,4,False,True,True
INT0000569,C000642,Mobile App,Product Info,Medium,2,7.76,1.0,0.951,5,False,True,True
INT0000570,C000571,Mobile App,General,Low,4,4.25,0.839,0.993,5,False,True,True
INT0000571,C000948,Mobile App,General,Medium,4,3.09,0.873,0.874,4,False,True,True
INT0000572,C000416,Mobile App,Loan,Low,4,2.7,0.799,0.996,4,False,True,False
INT0000573,C000282,Web,Transaction Help,Low,1,0.5,0.965,0.791,4,False,True,False
INT0000574,C000050,Mobile App,Policy,Low,2,3.3,0.966,0.789,3,False,True,False
INT0000575,C000008,Web,Transaction Help,Low,3,5.86,0.957,0.803,5,False,True,True
INT0000576,C000374,Mobile App,Fraud,Low,3,4.88,0.938,0.901,4,False,True,True
INT0000577,C000925,Web,Complaint,Medium,2,3.84,0.897,0.996,3,False,True,True
INT0000578,C000524,Mobile App,Product Info,Low,1,2.01,0.843,0.852,5,True,True,True
INT0000579,C000893,Web,Policy,Medium,1,4.21,0.817,0.862,4,False,True,True
INT0000580,C000102,Web,Loan,Low,3,5.62,1.0,0.883,4,False,True,True
INT0000581,C000094,Mobile App,Complaint,Medium,2,4.58,0.959,0.946,5,False,True,True
INT0000582,C000833,Mobile App,Loan,Medium,2,4.1,0.828,0.862,4,False,True,True
INT0000583,C000107,Mobile App,Product Info,Low,4,2.37,0.894,0.857,4,False,True,True
INT0000584,C000052,Internal Desk,Fraud,Medium,1,5.36,0.863,0.792,3,False,True,False
INT0000585,C000404,Internal Desk,Loan,High,4,0.5,0.788,0.854,3,False,True,False
INT0000586,C000924,Mobile App,Complaint,Medium,2,4.49,0.906,0.994,4,False,True,True
INT0000587,C000689,Web,Policy,Low,4,8.43,0.853,0.907,5,True,True,True
INT0000588,C000100,Mobile App,Transaction Help,Low,4,1.08,0.804,0.841,4,False,True,True
INT0000589,C000837,Mobile App,Transaction Help,Medium,3,3.37,0.757,0.999,4,True,True,False
INT0000590,C000843,Web,Loan,Low,2,3.79,0.749,0.853,4,False,True,False
INT0000591,C000800,Web,General,Medium,1,2.97,0.857,1.0,3,False,True,True
INT0000592,C000902,Mobile App,Fraud,Low,1,5.67,0.882,1.0,5,False,True,True
INT0000593,C000240,Mobile App,Product Info,Medium,4,4.65,0.811,0.904,4,False,True,True
INT0000594,C000979,Mobile App,General,Low,1,4.07,0.949,0.78,5,False,True,False
INT0000595,C000321,Internal Desk,Fraud,Low,2,5.24,0.884,1.0,4,False,True,True
INT0000596,C000802,Mobile App,Transaction Help,High,2,3.83,0.942,0.931,4,False,True,True
INT0000597,C000579,Web,Loan,Medium,3,9.52,0.874,0.874,4,False,True,True
INT0000598,C000779,Web,Complaint,High,4,4.07,0.819,0.976,4,False,True,True
INT0000599,C000628,Web,General,High,3,4.15,0.9,0.956,5,True,True,True
INT0000600,C000642,Web,Complaint,Low,4,0.72,0.776,1.0,4,False,True,False
INT0000601,C000616,Mobile App,Loan,Low,3,2.82,0.939,0.847,3,False,True,True
INT0000602,C000779,Mobile App,Loan,Low,2,5.87,0.806,0.925,3,False,False,False
INT0000603,C000739,Web,Transaction Help,Low,1,1.4,0.973,0.805,4,False,True,True
INT0000604,C000135,Web,Fraud,Low,1,0.5,0.86,0.953,5,False,True,True
INT0000605,C000826,Mobile App,Product Info,High,2,3.86,0.986,0.898,4,False,True,True
INT0000606,C000536,Web,KYC,Low,1,6.27,0.789,0.922,5,False,True,False
INT0000607,C000323,Mobile App,Policy,Low,2,3.88,0.829,0.888,5,False,True,True
INT0000608,C000514,Mobile App,General,Low,2,3.19,0.924,0.88,4,False,True,True
INT0000609,C000967,Mobile App,Complaint,Low,2,0.5,0.995,0.831,4,True,True,True
INT0000610,C000857,Web,Complaint,Low,4,4.61,1.0,0.963,4,False,True,True
INT0000611,C000833,Mobile App,Loan,Medium,4,4.99,0.894,1.0,5,False,True,True
INT0000612,C000463,Web,KYC,Low,3,0.59,1.0,0.855,5,False,True,True
INT0000613,C000784,Mobile App,General,Medium,1,5.84,0.864,0.944,5,False,True,True
INT0000614,C000385,Web,Product Info,High,2,5.18,0.989,0.935,4,False,True,True
INT0000615,C000686,Mobile App,Transaction Help,Medium,3,5.84,0.805,0.901,4,True,True,True
INT0000616,C000639,Mobile App,Complaint,Medium,3,4.85,0.928,0.778,4,False,True,False
INT0000617,C000250,Web,Complaint,Low,2,4.98,0.679,0.796,4,False,True,False
INT0000618,C000267,Web,Fraud,Low,2,4.74,0.789,0.838,5,False,True,False
INT0000619,C000062,Web,Policy,Low,2,5.36,0.932,0.729,3,False,True,False
INT0000620,C000140,Web,Product Info,High,3,0.53,0.772,1.0,4,False,True,False
INT0000621,C000434,Web,Policy,Medium,1,1.1,0.928,0.929,4,False,True,True
INT0000622,C000478,Internal Desk,Loan,Low,3,2.48,0.972,0.898,3,False,True,True
INT0000623,C000165,Web,Loan,Low,1,3.57,0.845,0.725,5,False,True,False
