Lead_ID,Age,Monthly_Income,Account_Tenure_Months,Product_Count,Monthly_Transactions,Digital_Engagement,Balance,Credit_Utilization,Recent_Application,Segment,Converted,Conversion_Probability
L00866,52,48020692,57,5,14,61,7195845.969534308,0.1997597308619608,0,Mass,0,0.5496368142113139
L00867,57,6723421,28,4,17,75,10835067.576161772,0.0587730134146666,0,Mass,1,0.7028263067256534
L00868,58,31026001,159,5,15,75,9335660.444048198,0.40681153963076044,0,Mass,0,0.26889849374855346
L00869,41,12764988,122,5,23,30,184836974.5590468,0.5493698015839883,1,Mass,1,0.5948889208854379
L00870,22,34559863,165,5,23,20,41606326.81317257,0.19452488098542808,0,Mass,0,0.3003719582334388
L00871,41,22982011,102,5,22,56,17741960.53880568,0.6258715787388008,1,Priority,1,0.4716809586827319
L00872,30,24107889,20,2,21,67,58793686.473021105,0.9088171272735021,0,Mass,0,0.2099462769933831
L00873,26,34890970,163,1,10,36,51818044.8929836,0.9414054157843951,1,Mass,0,0.18323241351189148
L00874,26,38781557,83,1,13,43,3771700.2464163844,0.7998497883495022,0,Affluent,1,0.32591734378207377
L00875,52,21481956,124,2,18,58,12003483.748460812,0.4494955174619773,0,Mass,0,0.20505785453129172
L00876,43,49892700,69,4,14,50,14757121.861039447,0.5426684402656142,1,Priority,1,0.35122073477373955
L00877,45,26929724,89,3,20,53,27648684.502800036,0.5029762787048252,1,Mass,1,0.3173592844502172
L00878,54,11377908,89,3,28,72,11989813.997819275,0.19010005289595439,1,Affluent,0,0.578046055736156
L00879,45,4294338,52,1,22,99,13592512.45041485,0.8189727539228278,1,Mass,0,0.12907090002056237
L00880,49,13310642,100,4,25,82,9456490.903461313,0.6582118432343416,0,Mass,0,0.4002678640853057
L00881,24,35790309,133,2,24,10,42819147.05660916,0.6241420545700554,0,Mass,1,0.3485676201158974
L00882,59,28814136,4,4,20,41,3542064.5323337223,0.24829805150283102,1,Affluent,1,0.7255613829933499
L00883,41,19540202,24,1,21,10,9783481.766496852,0.18784336889123981,0,Mass,0,0.20710808849550558
L00884,27,26143268,152,2,16,89,2373520.288045233,0.8357238293310942,1,Mass,0,0.13326340424232483
L00885,57,42553743,103,1,18,68,5357035.57625047,0.21147255375999335,1,Mass,0,0.5711517416107804
L00886,54,30292210,176,2,19,29,20598693.82999014,0.1163466210715277,0,Mass,0,0.42407205989508284
L00887,23,6672432,109,5,21,86,20993324.181461442,0.6130446810167205,0,Affluent,0,0.2884931095114775
L00888,29,6257406,118,3,21,61,10966646.268228762,0.6839089315785717,0,Priority,0,0.2968774182594015
L00889,21,26174322,162,3,23,14,46156386.96925975,0.15766016928020782,1,Affluent,1,0.4827361005737176
L00890,33,22596716,119,2,23,23,58095783.51899352,0.23617346478708623,0,Mass,1,0.5096486454032324
L00891,25,43123063,60,2,23,83,13996717.891680526,0.7598874155553853,0,Affluent,0,0.3907898063354459
L00892,52,30817000,96,4,12,36,19268720.034112964,0.8866266797610683,0,Mass,1,0.33190230371876855
L00893,44,38815648,43,5,18,57,9540117.089132138,0.478839845335838,1,Mass,0,0.5315744946327623
L00894,65,30918802,61,4,24,91,28076640.243575692,0.7628044755671601,0,Mass,1,0.42154995444780957
L00895,54,19882842,123,4,17,36,4544827.263504294,0.337460106091172,0,Affluent,1,0.5505035622703309
L00896,48,34237362,27,3,16,11,90367529.0077988,0.6829105466606101,0,Affluent,0,0.16062157875118255
L00897,43,32585716,121,1,15,17,46900834.28235786,0.5514984134793219,0,Mass,0,0.19891485651628915
L00898,23,37129937,106,4,19,93,4522766.423229005,0.8088898222206432,1,Affluent,0,0.5679971026642181
L00899,24,12705085,56,5,18,64,6814357.106313035,0.7483109862661118,0,Affluent,0,0.14496823128504285
L00900,48,33511171,9,3,24,39,22857949.704949446,0.3057222936071783,0,Priority,1,0.64995948325528
L00901,21,17131619,127,1,18,17,10695243.366255606,0.18450969885422397,0,Priority,0,0.39458196424497394
L00902,22,40351185,149,4,28,73,25858768.485101394,0.7768910953169478,0,Mass,1,0.38688015822502314
L00903,30,40732141,132,5,17,13,10471464.114122886,0.07951331389569224,0,Mass,0,0.30813951939143963
L00904,60,32738989,76,2,17,18,68914179.78377944,0.661134931166074,1,Affluent,1,0.31329624085022745
L00905,41,47548113,118,1,19,64,15125123.872542202,0.47832281972342355,0,Affluent,1,0.53904982009867
L00906,52,28725352,75,4,27,68,168781559.5987339,0.11776937506413997,0,Mass,1,0.4936016740541037
L00907,39,5156341,65,2,32,61,27405000.54034335,0.6697050999559664,0,Affluent,1,0.17956253186737056
L00908,28,31885035,59,4,16,92,3890920.8923059874,0.4845866781188213,1,Affluent,1,0.5052434805319516
L00909,37,39774043,38,4,19,34,120849598.46759515,0.8240911972199115,0,Mass,1,0.27551724714487025
L00910,25,8654894,175,2,17,60,45003000.07910905,0.23776873619963385,0,Mass,1,0.14966403564272088
L00911,55,8811626,120,1,16,37,21937507.128747657,0.05206961465135118,0,Mass,0,0.2439037868715205
L00912,29,16565200,32,3,25,42,28636543.796122417,0.16743813607570895,1,Mass,0,0.24185717190329817
L00913,37,42835359,156,3,18,23,4567670.952003607,0.29264902953969696,0,Mass,0,0.1757171379009683
L00914,65,28260389,28,5,14,82,2468656.5376064978,0.6370199315738556,0,Mass,1,0.8498245795917941
L00915,47,48916232,107,2,20,74,14386647.127846237,0.3763789047642161,0,Affluent,1,0.7977916731960646
L00916,41,44157411,30,2,25,74,59550252.75753794,0.1564222219747649,0,Mass,1,0.49247993021556125
L00917,45,29522351,66,5,31,22,22281551.395076104,0.9334161168526982,1,Affluent,0,0.49977966834144266
L00918,56,35236371,119,4,26,20,82865739.23664632,0.14740470069034778,0,Mass,0,0.5146042024730042
L00919,32,19226084,180,4,14,81,56219911.105906524,0.36960830872999123,0,Affluent,0,0.44004882408222007
L00920,49,8158771,179,5,18,70,15312337.98821743,0.838943830842553,1,Mass,1,0.36031589080402526
L00921,60,22341934,162,4,22,12,48999354.39587484,0.6373538362266326,0,Affluent,0,0.21375325410360482
L00922,46,31244647,43,5,19,70,68761609.44580749,0.33781812065793726,0,Mass,0,0.6560255528491131
L00923,41,12380857,17,4,21,99,13844225.71782497,0.9233121016793372,0,Mass,0,0.5063551413580617
L00924,27,14199947,164,3,21,78,12112944.092852771,0.5009886988769601,0,Mass,1,0.5564302672888015
L00925,32,4689729,167,1,21,35,17261881.49052775,0.05729890628257164,1,Mass,1,0.28976806750489087
L00926,63,37764761,51,4,14,38,1344661.587215387,0.05554700253620322,1,Affluent,1,0.84322275233566
L00927,45,45373739,4,4,14,78,19855520.96420751,0.8969083966280659,0,Mass,0,0.3537905588933838
L00928,34,42062279,117,5,20,46,30829998.220768843,0.30306256742820886,1,Priority,1,0.8804310373066904
L00929,39,21479864,14,4,25,77,17332117.661108714,0.7808584694324613,0,Mass,0,0.2427685410869652
L00930,47,31298988,8,3,19,97,21172954.189930502,0.08920401969611058,0,Mass,0,0.2860222684333465
L00931,45,48196992,169,3,20,46,14361827.596923789,0.1822253983531304,0,Priority,1,0.8292704126971444
L00932,52,31202680,90,1,21,62,2036083.910296865,0.8211015588558859,1,Mass,0,0.38971134629644666
L00933,32,17610826,21,1,15,54,79094628.28245465,0.9446821851564788,0,Affluent,0,0.27638761757382757
L00934,50,19575206,118,1,26,56,10383534.742206572,0.09673063834124304,0,Mass,0,0.23777629788115764
L00935,40,37448081,67,5,25,16,8087179.852499594,0.2008732760320433,0,Mass,0,0.21814097721860237
L00936,63,24527500,97,4,28,99,58325126.078170925,0.7006207017217049,0,Affluent,0,0.36535702225887856
L00937,28,42516060,162,2,28,59,39914939.18817317,0.5265526606551485,0,Mass,0,0.3684034798681302
L00938,27,43748984,43,3,23,30,19709801.637850445,0.4153694415030871,0,Affluent,1,0.356106718286156
L00939,41,5648350,117,3,35,62,32376081.4784584,0.22502078415693466,1,Mass,0,0.13424900461689188
L00940,43,37272735,150,2,30,46,4725918.177802085,0.9008918227589985,1,Affluent,1,0.6577983681632267
L00941,52,21018134,77,3,25,84,13834366.563030047,0.20504169722009147,0,Mass,1,0.33294310230623425
L00942,39,27908668,175,2,21,79,54753117.65575276,0.2887246092247243,1,Mass,1,0.6703938058024307
L00943,62,16180514,81,4,25,44,7621005.999924674,0.3418683117887631,1,Mass,0,0.24804732483788017
L00944,42,20938689,83,4,20,74,5527396.428659684,0.17472487677708137,1,Affluent,1,0.5890741139269701
L00945,26,19197492,160,1,23,13,16226637.044713855,0.5326097506107667,0,Priority,1,0.3611345965846707
L00946,26,6317467,115,3,22,97,16611699.100125236,0.35719256815417305,1,Priority,1,0.6967642444712892
L00947,64,40007482,157,5,22,56,28663435.924962275,0.5970627504820599,0,Affluent,1,0.4175857965904194
L00948,27,10578340,143,5,20,69,3780656.848056857,0.38107227891657314,0,Affluent,0,0.4911496303740592
L00949,63,21286725,129,4,22,68,1171955.159606613,0.15478117612530884,1,Affluent,1,0.6650553828802532
L00950,33,12879158,44,4,16,38,37685753.3776227,0.8353376394177309,0,Mass,0,0.1637244895628292
L00951,25,11388032,72,1,19,72,5078765.53885382,0.5086868658190542,1,Mass,0,0.15584513166389535
L00952,34,21175642,156,5,16,46,8150341.595404781,0.339665440985304,0,Affluent,0,0.28741188292741254
L00953,48,46263229,111,4,24,71,1690145.6677379066,0.06472827704712081,0,Mass,0,0.4604635683449707
L00954,40,47430607,51,5,16,18,41719259.60152945,0.5880618237949405,0,Affluent,0,0.38357670615138956
L00955,56,21558210,59,5,21,23,21293213.88863065,0.7542538969812775,1,Mass,1,0.5296807713310199
L00956,48,27237056,140,2,17,94,20455355.79269636,0.6350551251954148,0,Mass,0,0.4865050380718738
L00957,39,49342136,33,1,21,76,20317961.24593875,0.7589473833493029,1,Affluent,1,0.3575847429205105
L00958,49,14802647,21,4,15,21,1911499.5659297386,0.18948725412747758,0,Mass,0,0.5136759002423041
L00959,64,47456544,138,3,28,29,5600658.682472622,0.9245326807541877,0,Priority,0,0.3425686359442633
L00960,39,8864506,52,1,21,59,9547917.717403749,0.2401999592563268,0,Priority,0,0.4490421886090536
L00961,27,14389292,138,2,19,10,7094411.986183519,0.2901016396160937,1,Affluent,0,0.16385069804294197
L00962,39,19562054,97,5,19,46,11433397.199565418,0.5110966064738769,1,Affluent,1,0.3599443003492811
L00963,58,5705873,180,2,15,39,19187324.9807427,0.054675974276316375,0,Mass,1,0.3627487959970172
L00964,30,41523609,95,2,21,22,41037591.699614644,0.44820363930666673,0,Mass,0,0.15379989128487545
L00965,63,43349134,157,4,16,37,3413868.733162776,0.2261527476915377,0,Affluent,0,0.4561327659721881
L00966,47,21633768,154,4,22,36,14868052.95795855,0.7241163065782298,1,Mass,0,0.3533363107362639
L00967,48,42473752,39,2,17,16,30557002.69163436,0.7319780457635428,0,Mass,0,0.105983362814314
L00968,35,39535267,180,5,20,67,5953427.065435751,0.6041613601764045,0,Mass,0,0.1618099677067779
L00969,62,40864654,135,3,32,34,12369297.910228457,0.429516657788213,0,Affluent,0,0.5488345034009875
L00970,22,40924428,20,1,12,12,23917306.460836444,0.3292106152360193,1,Affluent,1,0.7935305832623198
L00971,34,30380184,2,2,23,12,15169078.71172339,0.7947157773641111,0,Mass,0,0.20076497757177483
L00972,39,9097755,49,5,15,97,29436869.74668197,0.506384257292357,0,Mass,1,0.48338096279304904
L00973,42,46480376,3,1,17,20,16489904.549235359,0.4968201073512591,0,Affluent,0,0.1774278754286478
L00974,42,31998348,65,1,20,92,10981232.303561829,0.15208959999438892,0,Mass,1,0.6637941284290471
L00975,27,45458156,180,4,24,25,4642905.9207753185,0.2465447430703242,0,Mass,1,0.29626370350805453
L00976,31,48118418,87,3,21,17,19205923.70047711,0.37444036272649256,1,Mass,1,0.5710725495965407
L00977,25,12609476,5,2,22,59,16577112.49442097,0.6789675585054572,0,Affluent,0,0.35041794776771584
L00978,46,22498351,89,3,20,89,5557887.962833495,0.8107438920767679,0,Mass,0,0.3996874715362646
L00979,36,12854722,40,1,19,16,26845709.846832942,0.9435742491469635,0,Mass,0,0.14040319157171147
L00980,46,6343428,155,2,22,39,53301992.192444034,0.4346888913073413,0,Mass,0,0.2511285410231189
L00981,47,48454694,17,2,12,78,7752048.516429371,0.4578839125085961,0,Mass,1,0.4465927604809214
L00982,52,46471923,139,3,17,16,7245771.496293025,0.7394544870098204,1,Priority,0,0.5793510826288778
L00983,45,46860135,81,4,15,25,6985954.575752291,0.3391042787825137,0,Affluent,0,0.28953325470264635
L00984,50,44648648,4,5,24,37,2799353.923404474,0.5364661784127084,1,Affluent,0,0.4816801262351691
L00985,47,33843586,122,1,15,83,111333687.78234783,0.6593155908224401,0,Mass,1,0.5692996652042073
L00986,50,28018506,82,2,22,83,9575088.909264212,0.26262473963416955,1,Mass,0,0.4971894971896513
L00987,48,49607799,139,2,23,74,6357250.825047343,0.3016309544468159,1,Mass,1,0.47330202753897826
L00988,35,29403643,112,3,26,70,4861150.576908985,0.3705715734701591,0,Mass,1,0.5426586063399237
L00989,32,33551844,142,3,16,12,10176516.22234545,0.5699163515264996,0,Affluent,0,0.3795199778186569
L00990,56,13740090,83,5,16,31,7484549.540561486,0.29337390814660236,1,Mass,0,0.16270065495332114
L00991,36,38348576,2,5,21,93,63188567.314262606,0.23735100425719435,1,Affluent,0,0.8101787276178146
L00992,45,41694734,24,4,25,75,4302999.703875908,0.1845573941955323,0,Mass,1,0.5210274090149605
L00993,29,35212277,83,1,11,31,3220433.4742037095,0.778378908068094,1,Mass,0,0.319366086836806
L00994,40,26935601,72,1,19,74,26045220.65918754,0.8473743475374277,1,Mass,0,0.3006276115807274
L00995,44,13101931,143,5,22,75,13475102.248658817,0.8642497511570125,0,Mass,0,0.3456118635938279
L00996,49,5558378,75,5,22,77,12002384.817362819,0.7894703035501253,0,Mass,0,0.09122056850824205
L00997,44,32856270,155,2,22,99,26250537.03768078,0.17356030085851631,0,Mass,0,0.32335644932673646
L00998,37,35418687,34,1,19,59,17197462.40593995,0.13797674717426966,0,Priority,1,0.5976932341218018
L00999,64,39540305,70,4,19,15,14313921.773137633,0.49924789630137334,1,Mass,1,0.7551941317691336
L01000,44,47722828,137,3,26,84,3678128.6329302345,0.5192842577524984,1,Mass,1,0.6061339111894758
L01001,57,26878615,23,5,23,11,2829089.847951616,0.7095408732140625,0,Mass,0,0.13594500268973878
L01002,54,42140922,58,3,24,68,7445589.322438721,0.2505926782905881,0,Mass,1,0.4575485268924864
L01003,46,36949394,136,4,10,82,5071746.624771679,0.8878547028721029,0,Affluent,1,0.27081222879714867
L01004,60,16751114,107,4,22,21,19633867.32084772,0.3289368136956951,0,Mass,0,0.4121238513714038
L01005,26,42875548,141,1,24,82,2482671.7290421533,0.5700280558221301,0,Affluent,1,0.44481880679390634
L01006,62,6452953,93,1,12,83,9591622.950128263,0.8277922466796094,0,Affluent,0,0.38809543099029276
L01007,59,31548943,155,4,24,69,12616119.765640397,0.5211032976385208,0,Mass,1,0.3449570699695962
L01008,43,47256164,158,1,24,39,14416810.500460884,0.7282017003500035,0,Mass,1,0.4169569965209439
L01009,54,34312311,176,2,19,28,22354205.386105116,0.7241235803665717,1,Mass,0,0.10034753743706507
L01010,44,47104885,22,4,15,74,10821230.673950905,0.7610191218589417,0,Mass,1,0.39107224651757094
L01011,33,6583286,107,2,22,24,7694903.2733108355,0.7799434385422445,0,Mass,0,0.16596344481146055
L01012,56,28491104,21,1,23,71,52066947.97396961,0.4032166525867909,1,Mass,0,0.3477149270979944
L01013,32,39908162,42,1,20,25,10891879.5105835,0.37720061836359564,1,Affluent,0,0.4356866741927473
L01014,35,33546600,55,3,22,40,62002863.450029604,0.7731482901486226,0,Mass,0,0.29224705127405054
L01015,44,44504677,117,4,20,56,10836531.274309188,0.5717393535492934,0,Affluent,1,0.6301545503847893
L01016,58,25279602,78,4,11,24,14757929.59264605,0.5969419554510278,0,Affluent,1,0.3580718442209843
L01017,38,35399742,156,5,23,82,13056718.822812067,0.4207255257146631,0,Mass,1,0.5397491142170462
L01018,43,23309206,54,4,18,73,18902020.284912787,0.23145319280615534,0,Mass,0,0.5430705243843398
L01019,22,44117509,112,4,24,11,9857198.556705588,0.46123751233070515,0,Mass,0,0.1294103415128422
L01020,26,9494628,138,2,20,87,16513614.713928442,0.9226818191921621,0,Mass,0,0.13822484122051387
L01021,23,15689513,177,2,24,75,69329065.07346652,0.3117801913231789,0,Mass,0,0.15167813416371528
L01022,24,8450633,45,2,25,86,42815577.250647366,0.2948074172367238,1,Mass,1,0.49341674827113713
L01023,60,36296616,133,1,19,64,43111446.62182331,0.16770575812016067,0,Affluent,0,0.5076438943394832
L01024,58,14705678,16,5,20,67,3920109.6653855294,0.4830623969088445,0,Mass,1,0.5539548406537491
L01025,57,18588334,98,2,28,44,4608628.279150154,0.30967735630474136,0,Affluent,1,0.3683142956722334
L01026,23,42485474,75,3,12,30,18649160.354300316,0.6684113578968044,0,Mass,1,0.17167497926868025
L01027,24,20568404,173,2,25,31,32420408.82690268,0.17161212350187688,0,Mass,0,0.26456924654425973
L01028,33,10708285,140,1,20,38,8925520.530059643,0.27258123442600984,0,Mass,0,0.05779066525187381
L01029,46,4964645,167,5,15,36,7466791.115780415,0.10566594453163097,1,Mass,1,0.2748870022865526
L01030,36,14428137,154,2,19,78,60454632.262358986,0.08732381419379619,1,Mass,1,0.12981686509330065
L01031,42,46075525,74,1,25,57,29782675.57325335,0.7827291252521223,1,Mass,0,0.4068216590499535
L01032,28,29236246,133,2,28,47,43208484.733443975,0.8652902941629727,0,Mass,0,0.18518005571248428
L01033,53,49762310,6,1,20,75,9646548.11115215,0.7374999518319099,1,Mass,1,0.3904798848430509
L01034,35,13896036,101,5,19,76,8917624.627708295,0.8286471232032174,0,Mass,0,0.16935620501874896
L01035,23,20168034,9,1,22,95,38742640.13520842,0.12793653278332112,0,Mass,0,0.2839334919239372
L01036,54,11507507,131,2,19,38,11534290.033609279,0.858320853061596,0,Mass,0,0.20868850845892564
L01037,61,29912547,175,2,13,32,8143281.01346937,0.4694358528237034,0,Mass,0,0.09074271965776877
L01038,21,41173932,123,1,19,10,6018594.526577132,0.7417794406377641,0,Mass,0,0.2143183631768929
L01039,40,20932290,152,1,20,24,8995775.34898564,0.6041815595758055,1,Mass,1,0.12503124444991337
L01040,58,39490437,43,3,22,64,35986135.97805621,0.3648828344703257,0,Mass,0,0.16650576619825472
L01041,52,32803327,179,2,34,83,3314760.4029003237,0.28831912944755467,1,Priority,1,0.806936061522605
L01042,59,17423369,100,1,21,64,28137484.89616785,0.15631714606403413,0,Affluent,0,0.5838889008197623
L01043,39,45961445,122,2,24,100,7387810.72200553,0.42138599133293464,0,Mass,0,0.3901777917390557
L01044,37,23975279,139,2,19,67,12155111.808855196,0.49469244451658967,0,Mass,0,0.20782182608765662
L01045,52,10945684,116,3,19,90,12959182.632883107,0.9348035848195435,0,Affluent,0,0.27113300378487193
L01046,27,48284151,58,5,20,34,12028818.705726888,0.08356142869585506,1,Mass,0,0.3935663743439626
L01047,31,46017948,111,2,24,39,11256239.208014855,0.5811342459971657,0,Mass,0,0.20314220395522387
L01048,48,6278904,118,4,14,83,9618557.13306814,0.5224953397355333,0,Affluent,1,0.4352675787518103
L01049,51,45514538,155,4,28,70,8470800.609503875,0.07060657127941028,0,Mass,1,0.8275935009877838
L01050,26,47579371,87,1,24,54,56138606.461595565,0.3467680979022677,1,Mass,0,0.3794422329353807
L01051,43,42138028,91,3,14,96,15380485.294251801,0.4306346807037402,0,Mass,1,0.6393643419948981
L01052,37,15729846,91,3,18,79,13224906.501338106,0.49484278556528744,0,Mass,1,0.3548373860666628
L01053,43,33039152,21,3,24,36,7872671.659821614,0.26011047739141313,0,Mass,0,0.1202038576482446
L01054,64,28759081,17,1,19,65,9975243.564499678,0.08069019790768525,0,Mass,0,0.33180698127778374
L01055,24,32526746,4,3,21,46,7900128.243857055,0.3144588015738235,0,Affluent,1,0.36548354904875147
L01056,65,32356419,120,1,22,47,32246011.88185224,0.8027256581902293,0,Mass,1,0.4168074169983164
L01057,41,33403782,76,5,21,83,7060042.80580027,0.7770720886559455,0,Mass,1,0.6469569671575744
L01058,55,27644036,156,3,22,71,1586934.7564538918,0.21267569705149936,0,Mass,1,0.44549648152559423
L01059,40,35762795,127,1,27,11,15900622.168692928,0.6316701490918929,0,Priority,1,0.45647453807189303
L01060,34,28223901,26,3,17,62,11343664.265020102,0.8812826372963046,0,Mass,0,0.22342185894685487
L01061,55,4758181,19,5,17,68,8350003.719359231,0.20489692185366415,0,Mass,0,0.5168183913148316
L01062,51,5622969,66,4,25,56,37322871.7005211,0.1658087061870618,0,Mass,0,0.3176896064902871
L01063,27,48072258,166,2,16,37,974852.207089964,0.06993164008103266,0,Mass,0,0.5475799442747701
L01064,52,45825521,9,5,19,69,72551326.71525581,0.2051703182266087,0,Mass,1,0.7245953645937344
L01065,54,30937773,34,1,14,96,43065747.58511202,0.7825573200430298,0,Mass,1,0.4177610047038737
L01066,38,12031118,6,2,17,17,8004444.403908783,0.7825907661458932,1,Priority,0,0.1625986376991422
L01067,62,39947428,75,1,24,64,9556924.109456096,0.5364068693261088,1,Affluent,0,0.39341395101622323
L01068,49,10591357,179,5,20,92,24839550.288281485,0.3502080292405356,0,Mass,0,0.5326694355211911
L01069,36,21354964,124,4,24,46,25514991.744043212,0.7761023771017844,0,Affluent,0,0.4436276260351124
L01070,21,19173551,89,3,22,40,7957925.4460324375,0.22551371911001628,0,Mass,0,0.2892839094606253
L01071,51,4570271,26,4,13,32,2978064.0663320506,0.17586859108823677,1,Mass,1,0.23949318558622576
L01072,30,27447794,64,2,24,30,124181340.70014934,0.13028919613948475,0,Mass,1,0.3240587560207055
L01073,55,18547626,95,1,21,45,39023898.910964094,0.81619335187017,1,Mass,0,0.1840415775563147
L01074,44,27330745,50,5,23,80,17547355.05428502,0.6933586821973594,0,Mass,1,0.334319045845101
L01075,42,4000040,127,5,19,26,17882551.31107928,0.6121276554464782,0,Affluent,1,0.5423436046933112
L01076,28,24101507,177,1,25,31,27920668.739599966,0.704720715989787,1,Mass,0,0.1697661433931353
L01077,53,27900715,38,1,20,100,31472479.18060009,0.17913082298202287,0,Mass,0,0.5080310887089785
L01078,28,19626984,46,3,26,100,1862060.2269159483,0.39631017874207686,1,Mass,0,0.5158744202045221
L01079,39,42197509,23,1,20,30,10561108.261075951,0.782703706472724,0,Mass,0,0.09342477156645283
L01080,58,15492000,131,4,16,48,9518337.915928107,0.8750889585329895,0,Priority,0,0.14697755963459153
L01081,62,10339934,84,5,13,46,12763831.95263377,0.511786070530107,0,Mass,0,0.22991775828272096
L01082,65,28267064,52,2,21,36,32422224.994048543,0.15985530147468077,0,Mass,0,0.09054020713448883
L01083,64,44814729,40,2,25,23,2504201.7063429016,0.9306655991714295,0,Affluent,0,0.5479575498379301
L01084,46,21262794,13,5,19,15,3891940.262987515,0.4055256872516839,0,Affluent,0,0.24450263153872148
L01085,30,6144756,86,2,22,65,7586005.47178283,0.3370951976786855,0,Mass,0,0.1878255663584973
L01086,58,48616866,123,2,21,13,17503403.147042293,0.1579918241434795,0,Mass,0,0.49746472630679284
L01087,57,24437691,43,1,22,66,34472979.50577234,0.06136665889524359,1,Affluent,1,0.4754320703553664
L01088,65,11954656,1,5,19,18,76659506.36569127,0.5933060052367827,1,Mass,1,0.35577733059084954
L01089,50,32318286,86,5,15,24,11264948.489031361,0.6011879167709774,0,Mass,0,0.18565220603930968
L01090,27,18704616,122,1,17,10,34416328.2683194,0.26081702304985444,1,Affluent,1,0.2803214788759861
L01091,43,47138417,63,5,24,46,30514826.473024797,0.19578808053244134,1,Affluent,1,0.7738909458286788
L01092,41,17522181,46,1,21,39,25783102.929890607,0.5252079204490402,0,Affluent,0,0.14293832425212497
L01093,58,29306240,28,1,17,40,14640172.060990665,0.44186616955275676,1,Priority,1,0.49925054070564
L01094,38,28992222,135,2,21,38,10059508.057809118,0.32328863422627896,0,Mass,0,0.05995927715267582
L01095,35,15152301,156,3,27,95,5168853.328013727,0.24640957577679928,1,Affluent,1,0.7619988828494322
L01096,24,26966891,139,5,19,49,4837786.759170412,0.8233752724321789,0,Affluent,0,0.2521869537484348
L01097,58,9017308,94,4,18,83,21223987.43040334,0.9354451631949495,1,Mass,0,0.299320423201961
L01098,54,33612061,131,1,24,31,14205478.368733047,0.37002355914445123,0,Priority,1,0.32992535120125466
L01099,22,38882631,72,3,20,53,9900079.854924712,0.6783177074883502,0,Affluent,0,0.22665670910610528
L01100,40,47700081,5,5,25,15,29161776.488851134,0.8289924928958821,1,Affluent,0,0.2600440457847978
L01101,42,18985902,67,4,15,33,12274955.323167037,0.07424310273391542,0,Mass,0,0.36772776892446235
L01102,42,17120169,127,2,17,16,6018698.544437658,0.8672583924465661,0,Mass,0,0.16622983618357812
L01103,62,29245218,117,1,15,11,11490862.244379636,0.499234093582813,0,Priority,0,0.14718206219969857
L01104,27,35867492,179,3,19,26,34078955.33958833,0.551074334362106,0,Priority,0,0.4497687076918777
L01105,34,49653371,180,3,20,24,5389954.53018082,0.5358859876827494,0,Mass,1,0.37052755991931624
L01106,29,5151849,44,2,27,38,18491793.122161925,0.26863447406805374,0,Mass,0,0.16073930995900884
L01107,31,14962047,2,1,23,77,14191234.094622243,0.7540172968916409,0,Affluent,0,0.1342009753948765
L01108,61,16069869,50,1,25,23,7009317.320134742,0.7091045352821314,0,Mass,0,0.1301203446179868
L01109,63,15747570,158,3,17,65,11186391.71444034,0.1362131141164997,1,Mass,0,0.46741294768315506
L01110,23,25331107,147,5,19,43,3115430.0245417226,0.556512417051389,0,Priority,0,0.39921979547745956
L01111,49,44153868,18,3,24,46,16738147.49002844,0.9113235815345816,0,Mass,0,0.1938868604604561
L01112,31,5425760,29,3,17,93,3831733.1396012837,0.8340416990835882,0,Affluent,0,0.3784592618375466
L01113,29,41528712,102,5,21,52,43837403.6829243,0.6133139342138701,1,Mass,1,0.6763827675904791
L01114,34,32412795,119,4,18,33,13681954.544766622,0.22882400938496067,0,Mass,1,0.21375829275821145
L01115,29,32299198,177,4,20,31,8467510.489741487,0.362500817024032,0,Mass,0,0.2506667682171913
L01116,43,35202287,136,3,20,25,47875769.91556051,0.18532226251492023,1,Mass,1,0.8073736236497444
L01117,65,9308794,39,4,22,82,5345212.801516356,0.7897375534906386,0,Affluent,0,0.3812584581011423
L01118,47,38349658,7,3,14,70,7101935.093314517,0.7508037481452614,1,Mass,1,0.20972370110454408
L01119,53,15414057,115,4,25,34,2408016.884049761,0.869322476602109,0,Priority,0,0.2122487988649981
L01120,43,27762427,100,4,33,54,55565166.62842619,0.10705599272383691,1,Mass,0,0.3758765402648372
L01121,21,35136393,166,4,21,55,97603748.32934836,0.918242133484543,0,Priority,0,0.4848199461734934
L01122,24,31781454,104,5,26,14,2813575.8614765503,0.9197846029240635,0,Mass,0,0.2370400912882448
L01123,33,18863749,91,2,16,92,6634463.201789352,0.656968814195326,0,Mass,0,0.20560773143144587
L01124,31,22219001,55,4,11,81,16084623.967966942,0.8435734246760075,0,Mass,0,0.59478989623815
L01125,58,25919516,16,1,21,58,8956289.86882857,0.4445940858643774,1,Mass,0,0.3351946005989586
L01126,58,5897639,158,3,17,75,14537553.456150765,0.3320638709050156,0,Mass,1,0.2201041475647483
L01127,59,37397946,149,5,29,19,13335801.481026892,0.18893161040435102,0,Priority,1,0.28766236777731086
L01128,49,8597785,30,4,21,98,22547000.944181353,0.07842152292327842,0,Affluent,1,0.3651092110669359
L01129,46,25094851,127,2,23,68,5737850.7542031845,0.08779761745226333,1,Mass,0,0.250891731004859
L01130,50,34129812,66,4,12,95,18187050.89096323,0.6724100368436865,1,Mass,1,0.457809417091382
L01131,39,7698021,79,2,23,88,4913186.82040884,0.352917198959262,0,Mass,0,0.18582830273724385
